Title,Price,Type,Location,Bath(s),Area,Purpose,Bedroom(s),Added,URL
1 KANAL SLIGHTLY USED HOUSE WITH 25 KVA SOLAR PHASE 6,10 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,59 minutes ago,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_d_1_kanal_slightly_used_house_with_25_kva_solar_phase_6-53097736-1613-1.html
5 Marla Brand New Ultra Modern House For Sale Near Park,1.96 Crore,House,"DHA Defence, Lahore, Punjab",4,5 Marla,For Sale,4,1 hour ago,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_c_5_marla_brand_new_ultra_modern_house_for_sale_near_park-53076020-8175-1.html
1 Kanal Full Basement Modern Bungalow For Sale In Phase 6 DHA,18.25 Crore,House,"DHA Defence, Lahore, Punjab",5,1 Kanal,For Sale,6,2 hours ago,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_full_basement_modern_bungalow_for_sale_in_phase_6_dha-53128522-1448-1.html
This Is A Brand New 4 Bedroom Apartment In Sec S Askari 10.,4.5 Crore,Flat,"Askari, Lahore, Punjab",5,12.2 Marla,For Sale,4,2 hours ago,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4_bedroom_apartment_in_sec_s_askari_10-53251635-21434-1.html
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,1.5 Crore,House,"Park View City, Lahore, Punjab",5,5 Marla,For Sale,4,2 hours ago,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-52526810-1466-1.html
Luxury 1-Bed Apartment Pre-Launch Offer in GrandLifestyle Grand 15 with High Rental Income,80 Lakh,Flat,"Bahria Town, Lahore, Punjab",1,2.2 Marla,For Sale,1,2 hours ago,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_johar_block_luxury_1-bed_apartment_pre-launch_offer_in_grandlifestyle_grand_15_with_high_rental_income-53145649-1809-1.html
5 Marla Brand New House On 3 Years Easy Instalment Plan In Park View City Lahore.,1.72 Crore,House,"Park View City, Lahore, Punjab",4,5 Marla,For Sale,4,3 hours ago,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_house_on_3_years_easy_instalment_plan_in_park_view_city_lahore-53153348-1466-1.html
100 Percent Original Add With Original Pictures 1 Kanal Ultra Modern Luxurious Bungalow For Sale Phase 7 Near McDonalds Near Filling Station And Main Road,8.25 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,1 hour ago,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_100_percent_original_add_with_original_pictures_1_kanal_ultra_modern_luxurious_bungalow_for_sale_phase_7_near_mcdonalds_near_filling_station_and_main_road-53081207-1632-1.html
Brand New 5-Marla Modern Marvel Elegant Bungalow For Sale,2.1 Crore,House,"DHA Defence, Lahore, Punjab",4,5 Marla,For Sale,3,1 hour ago,https://www.zameen.com/Property/dha_defence_dha_phase_6_brand_new_5-marla_modern_marvel_elegant_bungalow_for_sale-53230957-1448-1.html
100 Percent Original Add 10 Marla Ultra Modern Bungalow For Sale At 70 Feet Road Near McDonalds,4.5 Crore,House,"DHA Defence, Lahore, Punjab",5,10 Marla,For Sale,4,1 hour ago,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_t_100_percent_original_add_10_marla_ultra_modern_bungalow_for_sale_at_70_feet_road_near_mcdonalds-53145575-1627-1.html
10 Marla House In Punjab Coop Housing Society Is Best Option,5.15 Crore,House,"Punjab Coop Housing Society, Lahore, Punjab",5,10 Marla,For Sale,5,1 hour ago,https://www.zameen.com/Property/lahore_punjab_coop_housing_society_10_marla_house_in_punjab_coop_housing_society_is_best_option-53201612-456-1.html
5 Marla House In Beautiful Location Of Punjab Coop Housing Society In Punjab Coop Housing Society,3.5 Crore,House,"Punjab Coop Housing Society, Lahore, Punjab",4,5 Marla,For Sale,3,1 hour ago,https://www.zameen.com/Property/lahore_punjab_coop_housing_society_5_marla_house_in_beautiful_location_of_punjab_coop_housing_society_in_punjab_coop_housing_society-53201613-456-1.html
5 Marla Brand New House On 3 Years Easy Instalment Plan In Park View City Lahore.,1.72 Crore,House,"Park View City, Lahore, Punjab",4,5 Marla,For Sale,4,3 hours ago,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_house_on_3_years_easy_instalment_plan_in_park_view_city_lahore-53153348-1466-1.html
12 MARLA 4 BEDROOM HOUSE AVAILABLE FOR SALE SECTOR B BRAND NEW HOUSE,5.5 Crore,House,"Askari, Lahore, Punjab",5,12 Marla,For Sale,4,3 hours ago,https://www.zameen.com/Property/askari_askari_11_12_marla_4_bedroom_house_available_for_sale_sector_b_brand_new_house-52813142-1503-1.html
1 Kanal Top Quality Build Luxurious Beautiful Ultra Modern Design Villa For Sale In DHA Lahore Near RAYA,8.25 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,3 hours ago,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_top_quality_build_luxurious_beautiful_ultra_modern_design_villa_for_sale_in_dha_lahore_near_raya-53213863-1448-1.html
Prime Location 1125 Square Feet House In Al-Raheem Garden - Phase 4 Is Best Option,1.32 Crore,House,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 hours ago,https://www.zameen.com/Property/gt_road_al-raheem_garden_-_phase_4_prime_location_1125_square_feet_house_in_al-raheem_garden_-_phase_4_is_best_option-53250665-8444-1.html
Luxurious 1 Kanal House For Sale Your Dream Home Awaits!,8 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,3 hours ago,https://www.zameen.com/Property/dha_defence_dha_phase_6_luxurious_1_kanal_house_for_sale_your_dream_home_awaits-53237360-1448-1.html
1 Kanal Brand New Faisal Rasul Design Semi furnihsed Full basement Spanish Bungalow for sale PHASE 6,13.75 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,6,2 hours ago,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_faisal_rasul_design_semi_furnihsed_full_basement_spanish_bungalow_for_sale_phase_6-52563361-1448-1.html
Buying A Prime Location House In Lahore?,3.1 Crore,House,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,For Sale,4,2 hours ago,https://www.zameen.com/Property/punjab_university_society_phase_2_punjab_university_phase_2_-_block_d_buying_a_prime_location_house_in_lahore-53232486-12808-1.html
